Symbol	human_si_Untr._24h_1	human_si_Untr._24h_2	human_si_Untr._24h_3	human_si_Untr._72h_1	human_si_Untr._72h_2	human_si_Untr._72h_3	human_si_X1000uM_24h_1	human_si_X1000uM_24h_2	human_si_X1000uM_24h_3	human_si_X1000uM_72h_1	human_si_X1000uM_72h_2	human_si_X1000uM_72h_3
PDE12	8.31287121	8.52461954	8.667337935	7.924043184	8.13350534	8.25892599	8.613887515	8.458703	8.889457417	8.667574697	8.358630017	8.298772244
PDE4A	5.906056754	6.103757223	6.190080309	6.201300403	6.664221873	6.685004447	5.630106784	5.676816184	5.96288705	6.318811781	6.209507362	6.432404251
PDE4B	6.16653127	6.688151491	6.858633441	6.84009344	6.613171497	6.593897636	6.551668847	6.606816931	6.934358153	6.072648082	6.331297239	5.639570305
PDE4C	6.52184626	6.064673891	5.548073319	5.893565225	5.440565212	6.110829315	6.376002871	6.655907328	6.497025417	6.00207924	5.522356808	6.019333455
PDE4D	6.535224151	6.639199064	6.462054665	6.10759118	6.300006145	6.706821821	6.728382967	6.671868297	6.804042932	7.011460802	6.923647411	6.790002494
PDE4DIP	9.310951678	8.825117442	8.894213731	9.175499652	8.824146409	8.902964355	8.857647661	8.77987965	8.858107867	8.999304744	9.353045249	9.188875957
PDE5A	7.108665548	6.968600987	7.019797581	7.042275125	6.821335957	6.770185029	6.331718969	6.173494255	6.547969381	7.121322555	7.189381773	6.880703073
PDE6A	6.317974397	6.141569076	5.991260815	5.801148308	5.84387851	5.835625945	6.30128822	6.639748764	6.248774567	5.497728652	5.960577639	6.048063886
PDE6B	5.735074458	5.86982499	5.935613916	5.893565225	6.322047028	5.523390033	4.871853062	5.369013222	5.349161644	4.855828126	4.865006106	4.495114043
PDE6D	6.962802894	7.044305476	7.05920183	7.446143431	7.478159283	7.477118209	6.432700602	5.995196965	6.547969381	7.106159219	6.592019942	7.249512874
PDE7A	6.799256562	6.723701709	6.92885408	6.407943843	6.300006145	6.54582478	6.660544233	6.639748764	7.097934559	7.194720927	6.941869631	6.820926481
PDE8A	8.082319555	7.710424241	7.690403999	8.055028047	7.736997524	7.671885381	7.497480224	7.294855669	7.752475883	7.998188976	8.242105709	7.883628342
PDE9A	8.073663878	8.386351072	7.999206551	8.833533814	8.813431272	9.040534449	6.473606657	6.606816931	6.81766121	6.818500981	6.387939001	6.623485846
PDF	5.384962629	5.796250121	6.094931566	5.409610578	5.440565212	5.390172783	5.144017055	5.748777591	5.349161644	5.293568379	4.865006106	4.820229161
PDGFA	7.517241271	6.987927063	6.633264238	7.506143415	7.363536814	7.388310751	7.0236984	7.233494501	7.273379598	8.121614522	7.65873052	7.677925214
PDGFB	9.220278393	9.429144112	8.593465316	10.17801741	10.15025389	10.16174622	8.020478664	8.576645487	8.799893791	7.723361596	7.046329164	7.540160029
PDGFC	6.111457709	5.893258698	5.793467937	6.10759118	6.054026608	6.303650984	6.082227939	5.748777591	6.066225139	6.614927183	7.012395746	6.569089156
PDHA1	8.435887212	8.511702977	8.588227508	8.500757372	8.144991404	8.109948468	8.909724138	8.851741954	8.799893791	8.557548598	8.478522653	8.733803643
PDHB	7.410259989	7.553907051	7.454753252	7.446143431	6.680804214	6.728282902	7.420121503	7.043112953	7.203825522	6.425418734	6.959848942	6.895239269
PDHX	7.598516333	7.54111257	7.5828537	7.737653398	7.713930464	7.804520398	7.840729147	7.437335055	7.986539877	8.507678656	8.549375425	8.523724726
PDIA2	6.494662821	6.392510565	5.836058434	6.798544195	6.921217222	6.593897636	6.601190657	7.38208305	6.883742676	6.499818747	6.143653524	6.103449645
PDIA3	11.14323302	11.42351837	11.05127046	11.8061746	11.52154771	11.2922927	11.30679854	11.08633859	11.46947023	12.14623982	12.46274777	12.38850401
