Symbol	human_colon_Untr._24h_1	human_colon_Untr._24h_2	human_colon_Untr._24h_3	human_colon_Untr._72h_1	human_colon_Untr._72h_2	human_colon_Untr._72h_3	human_colon_X1000uM_24h_1	human_colon_X1000uM_24h_2	human_colon_X1000uM_24h_3	human_colon_X1000uM_72h_1	human_colon_X1000uM_72h_2	human_colon_X1000uM_72h_3
ING1	6.328508937	6.610196476	6.425147472	6.429064098	6.217834815	6.527832571	5.949414775	6.644702637	6.006439804	6.603679238	6.224155487	6.401635516
ING3	5.184592927	5.474374065	5.538592003	5.480178915	5.388862523	5.387645177	5.922706544	5.776150229	5.927813419	5.95372857	6.004889558	6.471669143
ING4	7.814131756	7.951099262	7.894917304	8.010314069	8.071593681	8.028784721	8.160468477	8.255499078	8.197366446	8.227528259	8.312352499	8.185537455
ING5	7.334812937	7.284287201	7.314901103	7.30179549	7.291779491	7.331755352	6.464367435	6.835350261	6.605703492	6.949115382	6.975572781	6.720249126
INHBB	5.908448421	5.93141416	5.705584518	6.68019678	6.621050945	6.312859472	5.748846351	5.582488047	5.430617113	5.214036022	5.661759489	5.33480974
INIP	7.520960468	7.469587778	7.533746336	7.436149667	7.300343903	7.509050178	7.918950056	7.716047738	7.826203164	8.144080383	7.88687227	8.141307665
INKA2	5.82925913	5.756893425	5.72757343	5.408659696	6.34359653	5.997381656	4.593596996	7.054433021	5.183881295	6.618708457	4.090695132	6.289131215
INO80	8.127278091	8.035251315	8.036282935	7.888844323	7.780825229	7.966176979	7.688272403	7.58316023	7.631899272	7.796819079	7.951138163	7.790649485
INO80B	6.213240607	5.787794666	6.26547359	6.579580395	6.549544745	6.335991233	5.684755501	5.582488047	5.821891384	5.111246691	5.20741999	5.471813321
INO80B-WBP1	7.007738758	6.937909626	7.191279399	6.838248168	6.931351946	7.469287873	6.210940071	5.819946551	5.366099904	6.391334467	6.779185974	5.445809613
INO80C	8.157363949	8.058412539	8.17932827	7.714545018	7.914329872	7.885733744	7.688272403	7.423607817	7.459971094	7.431447741	7.513233056	7.513638311
INO80D	7.473665543	7.944894515	7.800054394	7.820094427	7.743840375	7.91551258	8.591413348	8.49526369	8.613390662	8.543019294	8.441580007	8.63610596
INO80E	8.377703735	8.236416912	8.39818274	8.077225557	8.261902574	8.306343673	8.282147877	7.940570273	8.014976909	7.640303482	7.668754834	7.754874823
INPP1	7.294448548	7.274351485	7.397887986	7.121579982	7.048534127	7.28659371	7.348785626	7.213908683	7.406758592	7.363149461	7.300828883	7.413600353
INPP4A	7.308032149	7.416503264	7.572636282	7.636601493	7.599363159	7.509050178	7.403841254	7.343429156	7.602685667	7.551250616	7.500022808	7.571468972
INPP4B	7.544029169	7.716076411	7.636922742	7.870076933	7.846235168	7.987352284	8.247712294	8.380382709	8.538661432	8.719298474	8.732675298	8.481185674
