Symbol	human_colon_Untr._24h_1	human_colon_Untr._24h_2	human_colon_Untr._24h_3	human_colon_Untr._72h_1	human_colon_Untr._72h_2	human_colon_Untr._72h_3	human_colon_X1000uM_24h_1	human_colon_X1000uM_24h_2	human_colon_X1000uM_24h_3	human_colon_X1000uM_72h_1	human_colon_X1000uM_72h_2	human_colon_X1000uM_72h_3
A1CF	5.908448421	6.060029767	5.705584518	4.898659893	4.902015789	5.28087658	6.646657936	6.449432449	6.807156306	5.876782735	6.496343975	6.494222063
A4GALT	7.180785365	6.626200287	6.84245454	6.598437283	6.426606992	6.507825623	5.581396869	5.634046531	5.63003901	4.858244659	5.393113373	4.841249613
AAAS	9.182463002	9.015715752	9.035905628	8.923889342	9.093197115	9.060933754	8.73665496	8.629833558	8.642227228	8.260525157	8.615928213	8.573572718
AACS	9.682777609	9.688941599	9.626630511	9.343811122	9.513129665	9.412416807	8.27727885	8.181111973	8.463068424	7.764226718	8.089266288	8.014954442
AADAT	5.65314684	5.875985755	6.067130285	6.006748425	5.7700951	6.026860041	5.7796275	5.347832225	5.09981304	4.929586551	5.426478946	5.419151979
AAGAB	8.551808697	8.305728494	8.154029023	8.306301474	8.076549305	8.22560834	9.092577835	9.183846856	9.12308394	9.123905568	9.137984722	9.033499748
AAK1	8.33888657	8.339167341	8.289612787	7.961540891	7.925369859	8.140052621	7.635762832	7.747417208	8.145853874	7.696716277	7.650966392	7.750339179
AAMP	9.225580352	8.85025024	9.049655621	8.99462396	9.088313281	8.90702701	9.175869703	8.962439143	8.878628444	9.303871641	9.391419728	9.152828697
AAR2	9.141771716	9.062146442	9.047699358	9.131165618	9.138785604	9.023972101	9.760147175	9.605809952	9.429403703	9.802311275	9.866221127	9.722728097
AARS1	9.389360133	9.510100872	9.387856422	9.546820048	9.478101561	9.435620614	9.001226153	9.137503427	9.326686027	9.760201855	9.806291325	9.735332537
AARS2	6.24302463	6.527212824	6.462235378	6.341275528	6.360619467	6.335991233	6.1892565	6.220625963	5.886541986	4.994755799	5.687981923	5.859159072
AARSD1	5.82925913	5.725162589	6.099710345	5.799038645	5.92210492	5.967191854	6.026260049	6.644702637	6.397455633	6.241543724	6.651212332	6.327707656
AASDH	5.946201033	5.756893425	5.430501702	5.568707106	5.848485335	5.694325053	5.717240225	5.903038415	6.006439804	5.850019941	5.83407577	5.877346812
AASDHPPT	7.589071145	7.766281674	7.452612624	7.35164824	7.283162701	7.353805226	8.202186689	8.173456406	7.970069815	8.49238	8.235188114	8.382444176
AATBC	5.65314684	5.346279751	5.588874797	5.219320157	5.426218392	5.573139439	5.544724504	5.279841659	5.430617113	5.577312954	5.458817842	5.616006185
AATF	7.057097279	7.059277033	6.823887377	7.062667478	7.038279357	6.845205485	7.658504702	7.837583967	7.264236448	8.022835395	8.420834014	8.044834391
AATK	6.182757129	6.198892528	5.564017766	5.45687053	5.848485335	5.804031399	4.880003691	4.521522248	5.054559299	4.929586551	4.407571918	4.495097737
ABALON	5.744493576	6.176766309	5.96401822	6.283292207	6.326351367	6.466895488	5.748846351	6.018007566	5.681040683	5.306666416	5.35863638	5.981151142
ABAT	8.415498577	8.315362252	8.416517686	7.870076933	7.737581809	7.973270323	7.000134249	7.037438106	7.179232198	4.994755799	5.490204496	5.546263682
ABCA1	5.869497935	6.242043574	6.147071877	6.481132563	6.549544745	6.381073929	7.035669582	6.526008615	6.676205515	8.076816865	7.88687227	8.40274328
ABCA2	9.376666556	9.591457509	9.648726523	9.617955715	9.628588511	9.640318753	7.35811189	7.037438106	6.982854551	6.15967884	6.687318337	6.401635516
ABCA3	7.057097279	7.578204794	7.522436279	7.471588656	7.491695853	7.469287873	6.210940071	5.819946551	6.200373867	5.706439148	5.71362392	6.092256185
ABCA5	5.500707529	5.725162589	5.430501702	5.383694945	5.388862523	5.335676553	6.001166312	5.730677538	6.150331119	5.765970172	5.607442254	6.04583278
ABCA7	8.142400017	8.075540705	7.846014397	8.000001823	8.091314055	7.987352284	7.465475179	7.511744575	7.688585173	7.380535943	7.626896951	8.018723748
ABCA9	4.925845559	4.957764574	5.095706833	5.091440481	5.223898027	5.28087658	5.293642194	5.776150229	5.821891384	5.577312954	4.53793491	5.419151979
ABCB1	6.689018232	6.98773335	6.601124138	5.850202628	6.07856753	5.573139439	6.464367435	6.368201646	7.097216777	6.280621778	6.321249168	6.137046232
ABCB10	6.730574567	6.950534038	7.247567227	6.653485525	6.308877605	6.797159115	6.353404707	6.281662093	6.411463507	6.443405597	6.155154841	6.6016474
ABCB6	6.300628394	6.420370337	6.131478512	6.105709774	6.119924023	6.111377705	5.506791116	5.903038415	5.776779159	5.67549605	5.90094338	5.638325504
ABCB7	6.730574567	6.776688885	6.931724311	6.83036736	6.99648901	7.216013973	6.900680336	6.667245244	6.698918476	6.603679238	6.257327262	6.748357829
ABCB8	8.371306689	8.086846651	8.252651613	8.184254645	8.270569662	8.249143164	8.122941025	8.102650277	8.0325522	7.737605288	7.668754834	7.675732681
ABCB9	7.78545701	7.48684935	7.334489531	7.501274731	7.880688461	7.594637469	7.835095527	7.59472117	7.602685667	7.166337707	7.382462918	7.189376567
ABCC1	9.718417734	9.653390036	10.01069258	9.762691143	9.684643076	9.817567691	9.015887535	8.975674796	9.347823769	8.93577451	8.790372174	8.984391791
ABCC10	7.497510279	7.332941409	7.482125093	7.196462522	7.166059351	7.263458232	6.765386174	6.475446467	6.653108144	6.318568111	6.044158294	6.276016436
ABCC2	5.323164911	4.80212727	4.864588577	4.753213876	4.755988756	4.634949932	6.098679158	5.582488047	5.776779159	6.072251385	6.044158294	5.964444331
ABCC3	12.11492474	12.13900182	12.35568325	12.0760875	12.22957137	12.13641573	10.76872783	10.5168114	10.83028937	9.461811301	9.316785519	9.501768135
ABCC4	6.556158358	6.642017871	6.544981524	6.491307711	6.458414091	6.547546817	5.867483257	5.903038415	6.043972743	5.850019941	5.247485497	5.660216361
ABCC5	7.84224134	8.035251315	8.154029023	7.881366945	7.606258751	7.893236871	8.155167237	8.150241142	8.323942314	9.337315917	9.146420996	9.179919953
ABCC6	6.956566768	6.83254671	6.567718894	6.450135325	6.5198486	6.566977318	6.913508815	6.689421291	6.888008187	5.765970172	6.440496733	5.763863868
ABCC6P1	5.44479934	5.93141416	5.851561261	5.568707106	5.59564035	5.573139439	5.020151381	5.862202929	5.603656483	4.994755799	4.793702285	5.209983428
ABCC6P2	5.744493576	5.692548218	5.512565067	5.248704525	5.686152874	5.529659218	5.651332531	5.52843741	5.947941654	5.306666416	5.322950781	5.242731868
ABCC9	6.27214337	6.594001741	6.222328841	6.396819536	6.119924023	6.335991233	6.793528168	6.985173848	7.264236448	6.677217691	6.801223374	7.047380494
ABCD1	6.624211292	6.420370337	6.47437297	6.688985588	6.839451888	7.036055312	5.7796275	5.776150229	5.799548005	5.706439148	5.490204496	5.743855586
ABCD3	8.24400698	8.443854372	8.26957034	8.31740099	8.110766443	8.272297878	9.141525485	9.247047797	9.185090223	9.756911143	9.617527553	9.78136508
ABCD4	7.399622756	7.594201042	7.583554762	7.506162508	7.542958794	7.585378661	7.251965046	7.183432059	7.279154617	7.309666988	7.077742134	7.366762695
ABCE1	8.781256555	8.399273305	8.325645282	8.551527501	8.144184894	8.366736722	8.839179102	9.052630541	8.999372731	9.141686726	8.967521154	8.872561747
ABCF1	9.056768189	9.177348774	9.05356019	9.053787967	8.976451229	8.95780499	9.340948901	9.735871624	9.462077708	10.05763666	10.22677075	10.13440082
ABCF2	8.596343395	8.266533025	8.617377178	8.382253042	8.350395444	8.42469043	8.995319532	8.747739576	8.87134344	8.785466889	9.000476883	8.73996136
ABCF3	7.361094845	7.443294391	7.205564138	7.296145912	7.193962295	7.479333551	7.465475179	7.5715044	7.426948535	7.336661613	7.513233056	7.508262156
ABCG1	6.689018232	7.202764944	6.785985422	7.425859092	7.476702214	7.407469097	6.372553711	6.985173848	6.167228618	7.717307549	7.989296187	8.02623269
ABCG2	5.604602837	6.035340474	4.746951956	4.853528149	4.755988756	4.855956746	4.880003691	5.127473028	5.33225492	4.687997995	4.090695132	4.377117448
ABHD10	7.577943912	7.370691543	7.314901103	7.261764216	7.422937811	7.448980173	7.507912595	7.847259471	7.988202252	7.89637542	7.965567055	7.925398877
ABHD11	9.928625293	9.867748788	9.850602443	9.97421024	9.886506547	9.82148672	8.78541019	9.073296799	8.69271868	8.179031799	8.219244062	7.722817802
ABHD12	8.717191503	8.856852188	8.679384129	8.717661889	8.728982751	8.553033511	9.001226153	9.236094299	9.143379143	9.604137313	9.734004056	9.868202183
ABHD13	5.946201033	6.108011138	5.999339254	6.006748425	5.7700951	5.529659218	5.809632091	6.368201646	6.27971456	6.391334467	6.509949943	6.222200587
ABHD14A	6.484494542	6.220647147	6.307240195	6.210144626	6.410414565	6.240914072	6.707309826	6.475446467	6.383298589	5.902970491	6.33675555	5.964444331
ABHD14B	10.40072311	10.20793881	10.39894015	10.4344137	10.73828229	10.5269195	10.03214452	9.833535294	10.12084823	8.606656104	9.057512899	8.870483641
ABHD15	6.973834109	7.332941409	7.308310693	7.290473593	7.06882039	7.049706127	6.722061282	6.422902217	6.216633599	5.822652337	5.943573992	5.702787334
ABHD16A	8.756952699	8.640463953	8.711887009	8.622538889	8.735248825	8.590322781	9.536563007	9.533116454	9.501905168	10.099802	10.17001596	9.995579231
ABHD17A	9.324743447	9.039118268	9.118367307	9.200115295	9.145853664	9.116252856	9.194029012	9.048461452	8.676084453	8.785466889	8.955565966	8.66278156
ABHD17B	6.408785741	6.084246769	5.999339254	6.09203663	6.09941347	6.312859472	6.428397174	6.475446467	6.295020471	6.460320714	6.699144524	6.954692293
ABHD17C	9.632954729	9.723637401	9.670488919	9.672870969	9.582467607	9.751316481	9.662962262	9.821377892	9.762778602	9.758557438	9.954092315	9.656793464
ABHD18	6.24302463	6.401702729	6.425147472	6.210144626	6.360619467	6.381073929	6.372553711	6.667245244	6.556582601	6.733321345	6.509949943	6.580834635
ABHD2	11.8268621	11.95881764	12.03258621	11.6164256	11.55428692	11.59456841	11.31147835	11.29914927	11.53925459	11.84581221	11.66662834	11.6246075
ABHD3	7.795079474	7.932403604	7.657721235	7.008129571	7.415087678	7.320599832	7.99815374	8.14241835	8.023791548	8.628459882	8.61896547	8.46748873
ABHD4	8.585338447	8.820160743	8.651295866	8.875974383	9.036007257	8.971989909	9.395763309	9.275856338	9.501905168	10.09198935	10.15233535	10.10645091
ABHD5	6.730574567	6.420370337	6.510140459	6.119237981	6.360619467	6.403053117	7.251965046	7.894676913	7.774833746	8.251174712	8.258776543	8.295147936
ABHD6	8.016700709	7.894261888	7.85951857	8.027337612	8.270569662	8.062417979	7.695618032	7.410556613	7.536218962	7.558888735	7.602412898	7.718178755
ABHD8	6.459731492	6.242043574	6.386998472	6.598437283	6.740992283	6.164762871	6.446503303	5.776150229	6.043972743	6.443405597	6.549961828	6.739052156
ABI1	9.15298385	9.139962748	9.16963125	9.102634051	9.038541586	9.109853961	9.333948109	9.539068785	9.399349908	9.821339163	9.990840582	9.733049003
ABI2	8.488228195	8.789428429	8.638344763	9.126449442	9.100491946	9.030763369	8.429824261	8.49526369	8.42039767	8.610313114	8.625020797	8.696031779
ABITRAM	7.195506143	7.138360534	7.125134832	7.095702541	6.874633537	7.239936144	8.455898421	8.555326728	8.453333281	8.88236652	8.891745743	8.841070536
ABL1	9.020493886	9.112651434	9.243260106	9.146775577	9.051146742	8.996482042	8.750754489	8.629833558	8.670496666	9.208285581	9.075297319	9.100616612
ABL2	6.790638483	6.220647147	6.544981524	6.958592107	6.489482728	6.695715543	6.874661272	7.020233583	6.878156671	7.006673111	7.013597327	7.229314935
ABLIM1	9.685352762	9.575549443	9.724111655	9.616835785	9.661825165	9.631415681	9.670390196	9.588694966	9.603513696	9.561387166	9.489147522	9.455417641
ABLIM2	5.65314684	5.787794666	5.851561261	5.899292206	6.07856753	5.871935648	4.090695132	4.697754708	4.778465284	4.090695132	4.407571918	4.377117448
ABLIM3	7.664613451	7.794195678	7.996136002	7.804356121	7.383243902	7.855320571	6.001166312	5.942557659	6.167228618	6.116712282	6.024677178	5.964444331
ABO	9.350938899	9.417195287	9.46314512	9.485553068	9.381634767	9.629181293	9.359453054	9.34205253	9.434352286	8.973150446	9.012066297	8.933549098
ABR	10.7373157	10.78218009	10.75391478	10.65387331	10.81707968	10.57413001	9.580596733	9.487672629	9.578402756	9.878475699	9.852115081	9.998433732
ABRACL	8.494125946	8.231335473	8.256051367	8.25814606	8.36664945	8.470426405	8.802429867	8.657492081	8.711885135	9.229817988	9.326096972	9.186613882
ABRAXAS1	6.484494542	6.263094455	6.47437297	6.407654717	6.236558287	6.424675053	5.293642194	5.776150229	5.72988655	4.929586551	5.247485497	4.891818265
ABRAXAS2	7.520960468	7.370691543	7.268107568	7.24425328	7.430744619	7.489308494	7.6048631	7.767952888	7.895147899	7.978133741	7.7765289	7.976704648
ABT1	8.470388216	8.236416912	8.279626578	8.214269862	8.23558245	8.146336106	8.740192822	8.507478889	8.212850965	8.423345184	8.434697931	8.254221481
ABTB1	7.32148611	7.213217463	7.18408216	7.676106926	7.903203892	7.718301363	6.926219659	6.550594921	6.764879631	7.551250616	7.532820484	7.612095498
ABTB2	7.532541714	7.633420982	7.372869064	7.466579929	7.476702214	7.320599832	8.050524977	7.673116814	7.826203164	8.319860654	8.084870552	8.137848127
ACAA1	9.036728737	8.853555001	8.791238717	8.752791956	8.860898547	8.622175568	9.242194719	9.125680735	9.179204951	8.649937847	8.909208417	8.581221968
ACAA2	9.064706516	9.291339628	9.203406477	9.028729093	8.837796195	9.02737174	8.80580977	9.027432966	8.963287765	8.807924957	8.969900322	8.800165887
ACACA	9.685352762	9.833048853	9.909915678	9.738182836	9.721362809	9.734786398	8.835876784	8.832656685	8.902648815	8.602989764	8.5378324	8.608925936
ACACB	7.520960468	7.610019152	7.795375875	7.982647741	8.051597774	8.021962133	6.144766107	6.188999702	6.264227739	6.002489985	5.7387148	6.076969686
ACAD10	8.119656823	8.147482096	8.172145388	7.968611193	8.04655483	8.075653009	6.88773194	6.711243102	7.146999754	6.603679238	6.11921796	6.425390724
ACAD11	6.484494542	6.220647147	6.386998472	6.035822732	6.360619467	6.216023842	5.139661419	5.634046531	5.72988655	5.111246691	5.165563051	5.638325504
ACAD8	7.643436428	7.512353728	7.550544123	7.658684282	7.203141375	7.28659371	6.765386174	7.104211189	7.19507493	7.397711064	6.985176747	6.846766831
ACAD9	8.016700709	7.975652333	8.071476411	7.843381014	7.941771505	8.177346614	6.210940071	6.188999702	6.505608213	5.164091219	5.20741999	5.242731868
ACADM	6.151537114	6.220647147	5.999339254	6.035822732	6.179557462	6.190647222	6.026260049	5.942557659	5.843827215	6.337138653	6.240846908	6.389596965
ACADS	7.348015062	7.407458926	7.219705079	7.196462522	7.350665874	6.965720466	6.481996389	6.339981422	6.200373867	5.978347744	5.984784403	5.821943693
ACADSB	7.12030684	7.264345166	7.04777906	6.944108208	7.007054685	6.921746175	6.646657936	6.689421291	6.505608213	6.373514405	6.854822419	6.662237713
ACADVL	10.25409027	10.37688908	10.35772627	10.06321553	10.21450486	10.10321709	9.753168733	9.725470305	9.721549021	9.420803195	9.378947892	9.449865313
ACAP1	5.021296073	5.145066711	5.310003152	5.480178915	5.462291823	5.222819534	4.798395143	4.090695132	4.778465284	4.437183045	4.859320025	4.090695132
ACAP2	7.461590951	7.77331159	7.198439931	7.441267025	7.469145461	7.448980173	7.680888661	7.837583967	7.699656282	8.087373034	7.906956118	7.76839577
ACAP3	8.157363949	7.801089608	7.872896167	7.796421353	7.692984353	7.547727591	7.058866524	6.967307143	6.897790084	7.75097818	7.866501886	7.508262156
ACAT1	7.057097279	6.657653744	6.999221113	6.861624207	6.607048303	6.44595198	6.646657936	6.732722366	6.698918476	6.58848167	7.032227306	6.720249126
ACAT2	8.073057081	8.448237276	8.42257766	7.591379297	7.633511294	7.800486105	6.834690985	6.912285574	6.936241439	6.603679238	7.022943438	6.838105422
ACBD3	7.611067465	7.578204794	7.379165449	7.697589442	7.646944105	7.585378661	8.08997283	8.196301478	7.937773792	8.333211775	8.371227876	8.388273274
ACBD4	7.746304087	7.452113223	7.626408279	7.693318803	7.816874702	7.759986152	6.372553711	6.311144875	6.325107512	5.164091219	4.793702285	4.939096156
ACBD5	6.730574567	7.192234058	6.737089988	7.021965307	6.851278932	7.022269582	7.092955114	7.183432059	7.264236448	7.890352509	7.632952621	7.834141314
ACBD6	6.885265705	6.873003816	7.110002196	7.196462522	7.274492874	6.876331671	7.070322041	7.213908683	7.146999754	7.017904447	7.206024808	7.120178057
ACBD7	5.106753523	5.087114367	5.054473561	5.12515473	5.129383055	5.28087658	5.193847979	5.040396794	5.398859729	5.26146028	4.859320025	5.363701697
ACCS	7.577943912	7.223592802	7.539367726	7.535140527	7.407193727	7.386247501	6.333974379	6.08917982	6.641410972	5.50672551	6.004889558	5.497201116
ACD	7.43712838	7.127332863	7.693402503	7.654295072	7.936325183	7.666613256	6.428397174	6.311144875	6.383298589	6.391334467	6.563039713	6.75760081
ACE	7.195506143	7.105013504	7.198439931	6.352572276	6.34359653	6.335991233	6.410041911	6.368201646	6.439044984	5.542584109	5.810939892	5.702787334
ACE2	6.382563227	6.084246769	5.851561261	5.056359903	5.223898027	5.28087658	6.253250667	6.500965291	6.556582601	6.705557157	6.675388862	6.559696968
ACER2	6.750889261	7.192234058	6.931724311	6.607768279	6.634910753	6.813361366	8.403267775	8.48911691	8.334592447	9.24399615	9.108062369	9.152828697
ACER3	6.956566768	6.818793148	6.905542462	6.972926589	6.64863077	6.7473748	6.599328144	6.667245244	6.698918476	6.925407771	6.687318337	7.009507169
ACHE	5.256368601	5.250941047	5.095706833	4.898659893	4.965166502	5.160959385	5.506791116	5.52843741	5.520560382	5.164091219	4.720705535	4.983610061
ACIN1	10.41164763	10.43753267	10.59436702	10.49416532	10.60626425	10.54005719	10.74342847	10.82509974	10.73529243	10.69379855	10.66551667	10.74792738
ACKR4	5.553873772	5.199507456	5.095706833	4.805274738	4.755988756	5.28087658	5.467486163	5.582488047	5.54895668	4.687997995	4.919321691	4.72703635
ACLY	11.18029659	11.30642616	11.56832399	11.07824094	11.00032714	11.14410803	10.21083563	10.17666584	10.31303841	9.83544706	9.82742021	9.789079463
ACO1	9.845881795	9.748678749	9.749591877	9.683607349	9.656888262	9.615701738	9.797936214	9.985086479	9.825634403	10.03064315	10.05045445	9.966719034
ACO2	10.67521279	10.72566312	10.5775324	10.60220032	10.70120892	10.66306237	10.15237207	10.07793722	10.30405856	10.00035471	10.02553333	10.05253828
ACOT1	5.869497935	5.875985755	5.981803775	5.883147649	5.686152874	5.732040909	4.798395143	4.521522248	4.400600029	4.687997995	4.720705535	4.090695132
ACOT11	8.427878907	8.251554044	8.309378997	7.885110529	8.061630653	8.19563576	8.348633668	8.04505107	8.440249561	7.072743169	6.854822419	7.001807423
ACOT13	7.914601118	8.190022085	8.117094033	7.824002017	7.903203892	7.832077684	7.680888661	7.673116814	7.602685667	6.719509625	6.549961828	6.922370661
ACOT2	7.32148611	7.529105257	7.321460854	7.461553425	7.308856586	7.438716023	6.372553711	6.395833304	6.383298589	6.373514405	6.273602287	6.340319393
ACOT4	5.908448421	5.513847485	5.485901303	4.94117018	5.530990977	5.02268152	5.081983339	5.347832225	5.142830851	4.858244659	4.919321691	4.786668137
ACOT7	8.9058411	8.96468506	9.084421301	9.015183844	9.219163647	9.064247322	8.144505532	7.922389477	7.960916609	8.154153823	8.406834901	8.052207874
ACOT8	8.995793068	8.768569275	8.709412707	8.903811993	9.015570391	8.76350665	9.232187558	9.254304127	8.956419953	8.85797813	8.81440808	8.782588721
ACOT9	8.415498577	8.152869193	8.214712307	8.23491265	8.153591524	8.108214873	8.171012463	8.339950843	8.258325448	8.423345184	8.475504127	8.367767001
ACOX1	9.186105828	9.484770509	9.366050941	9.343811122	9.131682682	9.388833208	9.333948109	9.582944507	9.600582074	9.385004518	9.538038992	9.388786224
ACOX2	7.412235468	7.192234058	7.301689328	7.015064611	7.017540821	6.951216546	5.544724504	5.411540945	5.63003901	5.214036022	5.322950781	5.242731868
ACOX3	7.67508489	7.48684935	7.610489291	7.568216637	7.768603286	7.631080856	6.821106188	6.311144875	6.743243341	5.610994151	5.550377077	5.91292899
ACP1	9.578579774	9.471936381	9.487872657	9.582826711	9.58939416	9.505509546	9.480615499	9.617108068	9.363476012	9.255705603	9.322379609	9.211442624
ACP2	8.332313705	8.343881324	8.214712307	8.109543535	8.486740661	8.295084637	8.995319532	8.962439143	9.149412345	8.535343881	8.710071978	8.733113709
ACP5	8.194103896	7.907089298	8.040236343	7.986135449	8.129958086	8.121035041	7.835095527	8.110692741	7.769593519	7.75097818	8.106715481	7.690022483
ACP6	9.48115667	9.200880088	9.387856422	9.377271417	9.547326537	9.463482587	7.880858979	7.97625231	7.836258694	7.135829352	7.164554829	6.872429882
ACPP	5.323164911	5.299760611	5.430501702	5.383694945	5.59564035	5.573139439	6.566832113	6.621780459	6.439044984	7.414680001	7.104355891	7.566307951
ACRBP	5.553873772	5.875985755	5.61319272	5.799038645	5.873521984	5.804031399	5.895406283	5.52843741	5.603656483	5.736581553	5.964350019	5.419151979
ACSF2	7.84224134	7.938662709	7.790681954	8.558554991	8.738371652	8.631148193	6.861465904	6.774697081	7.036804199	6.691460896	7.164554829	6.729682895
ACSF3	7.775769155	7.752116942	7.916604001	7.710325018	7.804959188	7.666613256	6.428397174	6.251500777	6.27971456	5.214036022	5.71362392	5.723501508
ACSL1	8.870038425	9.009805193	9.21739403	8.77908879	8.664772756	8.799757182	8.563716599	8.584442131	8.703702204	9.004035422	8.732675298	8.593880926
ACSL3	8.809889287	8.96468506	8.676853207	8.56088987	8.274883639	8.177346614	8.46448564	8.684628488	8.616300493	9.108487846	9.267371266	9.278769019
ACSL4	8.008465453	8.011708928	7.832381204	7.776389056	7.891990554	7.726736487	7.565268664	7.705435785	7.530019287	7.661721297	7.754507432	7.803836862
ACSL5	11.40541616	11.5793573	11.55221671	11.46073337	11.55428692	11.55746449	11.16410836	11.23645665	11.2349986	11.60637497	11.62727365	11.48914327
ACSM3	6.689018232	6.610196476	6.399836733	7.075975356	7.166059351	7.049706127	6.353404707	6.251500777	6.150331119	7.09408957	7.230331488	7.017164592
ACSS1	7.887894119	7.648810877	7.813998553	7.839526215	7.863565767	7.692691941	7.10413573	6.854989169	6.505608213	6.913400297	6.675388862	7.127253695
ACSS2	12.00485263	12.04036215	11.92730999	11.22394736	11.41118795	11.62738891	10.56868157	10.84684835	10.79483382	9.934890634	10.19359688	10.13526558
ACTA2	7.266882025	7.379973465	7.301689328	7.751972639	7.869296183	7.666613256	8.416607427	8.501384275	8.145853874	8.133935591	8.270426804	7.953253717
ACTB	15.94805762	15.86911801	15.91702836	15.4474337	15.52147078	15.59873292	16.09521981	16.20996895	16.32877407	15.3654337	15.45432735	15.31637452
ACTG1	14.99132007	14.91796844	15.00163338	14.46974931	14.49550259	14.62361887	14.7428107	14.87436741	14.90806675	13.97403256	14.02174566	13.70685855
ACTL6A	7.040837742	6.98773335	6.999221113	7.028832009	6.53477842	6.876331671	7.540970875	8.04505107	7.485845563	8.011790297	8.281983173	8.052207874
ACTN1	11.14239067	11.27477109	11.38234414	11.37857517	11.35643438	11.3934448	11.31562765	11.26724776	10.99612291	10.6894911	10.7694506	10.54945895
ACTN4	13.26977299	13.17915295	13.27556446	13.14519381	13.08062918	13.10145931	13.1941487	13.15418174	13.19403785	12.57464544	12.75984943	12.57554761
ACTR10	8.332313705	8.343881324	8.221685472	8.172070272	8.04655483	8.328600037	8.398793534	8.37372268	8.334592447	9.026088189	9.146420996	8.951352465
ACTR1A	10.45151501	10.33263188	10.33065326	10.22332803	10.22454739	10.18000296	10.29371279	10.24742397	10.18974974	10.41886398	10.31915191	10.30932909
ACTR1B	9.750741247	9.732630757	9.689421919	9.786789742	9.795108603	9.635874091	7.906365578	7.885318586	7.960916609	7.558888735	7.285464993	7.202815909
ACTR2	9.274304965	9.532935629	9.394026423	9.033775883	9.030925175	9.083970169	9.51815412	9.735871624	9.576911928	9.691193493	9.674028707	9.58516755
ACTR3	9.171478911	9.087620367	9.063275536	8.957922039	8.917081943	9.122623443	10.12154965	10.21247884	10.18290789	10.34190579	10.31448371	10.13958165
ACTR3B	6.790638483	6.577611199	6.833202192	6.66244754	6.920192454	6.605020811	6.75109604	7.020233583	6.775571268	6.64827729	7.139071355	6.570307086
ACTR3C	5.787629778	5.958220021	5.927663675	5.670313185	5.96884354	6.055663557	5.081983339	5.411540945	5.576641564	4.929586551	5.026732926	5.176050031
ACTR5	6.667756447	6.642017871	6.805066782	6.790273006	6.458414091	6.82937532	6.499396682	6.689421291	6.698918476	7.176361421	7.156111702	7.047380494
ACTR6	4.925845559	4.884146349	4.916650699	4.898659893	4.755988756	5.02268152	5.245044607	5.903038415	5.260915161	5.67549605	5.661759489	5.546263682
ACTR8	7.150872236	7.138360534	7.015595773	7.17811334	7.325729291	7.076613722	7.070322041	7.020233583	7.088744686	7.05106557	7.367967221	7.407829823
ACVR1	6.848189559	7.116217666	7.254447371	7.476579733	7.415087678	7.666613256	7.746002857	7.91321157	7.821148693	8.464354672	8.270426804	8.234930997
ACVR1B	8.041125758	7.981725265	7.877327651	8.013735026	7.875003686	8.082224908	8.678832341	8.711262191	8.700964179	8.867172287	8.896756739	8.921556646
ACVR1C	4.512620037	4.708347236	4.965311566	5.019755687	5.223898027	5.335676553	5.293642194	4.831519287	5.223182633	5.349900336	5.393113373	5.616006185
ACVR2A	6.119540206	6.304206713	5.791177724	6.050111962	6.013889143	5.997381656	6.464367435	6.018007566	6.043972743	6.443405597	6.137312223	6.377448305
ACVR2B	6.086722354	6.492535793	6.399836733	6.570052571	6.753692327	6.605020811	6.446503303	6.368201646	6.383298589	5.95372857	6.745452899	6.652324837
ACY1	9.924272028	9.851329127	9.774629537	9.260185807	9.422940104	9.270499528	8.394305302	8.226205859	8.407008907	5.349900336	5.075529457	5.638325504
ACY3	7.923393616	7.744981418	7.567145393	6.531255083	7.308856586	6.936559578	6.88773194	6.621780459	6.721260246	5.67549605	5.984784403	5.522007454
ACYP1	5.699717252	5.43339271	5.372023384	5.610450083	5.426218392	5.573139439	5.426681884	5.411540945	5.576641564	5.542584109	5.579273902	5.104136419
ACYP2	7.832932884	7.686572442	7.713397198	7.701847307	7.712268845	7.594637469	8.021666882	8.218788056	7.942432437	8.19862776	8.338408243	7.718178755
ADA	7.238764913	7.105013504	7.24065327	7.165745897	7.23926955	6.951216546	6.12193009	6.018007566	5.799548005	5.469643712	6.044158294	5.569998421
ADAL	5.553873772	5.346279751	5.095706833	5.502992932	5.129383055	5.28087658	5.339952546	5.683370883	5.576641564	4.437183045	4.974858737	5.02575845
ADAM10	8.860946812	9.145363399	9.037877971	8.927509865	8.796452311	8.850557171	9.050477381	8.971276421	9.118990349	9.710034583	9.480835215	9.705360658
ADAM15	11.19753061	10.8265235	10.90836965	10.9714964	11.1646372	10.99770416	10.64886633	10.63680258	10.50784871	10.59131916	10.83935593	10.79464793
ADAM17	6.956566768	6.718464693	6.766635633	6.798385792	6.474038421	6.780763882	7.524538057	7.856869812	7.671815323	7.978133741	7.921835805	8.298248274
ADAM19	8.000182499	8.236416912	8.431619927	7.776389056	7.984610638	7.824245144	6.314253639	5.980853245	6.310150004	4.778796795	4.407571918	5.176050031
ADAM20P1	4.090695132	4.449104001	4.678665211	4.633203161	4.832911933	5.02268152	5.339952546	5.582488047	5.655823335	6.026175594	5.763281513	6.249385934
ADAM22	4.685298415	5.346279751	4.965311566	4.805274738	4.832911933	5.387645177	5.581396869	5.471582749	5.461444711	5.822652337	5.490204496	6.208391828
