Symbol	mouse_inviro_colon_Untr_24hr_1	mouse_inviro_colon_Untr_24hr_2	mouse_inviro_colon_Untr_24hr_3	mouse_inviro_colon_Untr_72hr_1	mouse_inviro_colon_Untr_72hr_2	mouse_inviro_colon_Untr_72hr_3	mouse_inviro_colon_X1000_24hr_1	mouse_inviro_colon_X1000_24hr_2	mouse_inviro_colon_X1000_24hr_3	mouse_inviro_colon_X1000_72hr_1	mouse_inviro_colon_X1000_72hr_2	mouse_inviro_colon_X1000_72hr_3
A1CF	78.7310022093358	105.07139555145	50.5214642696976	397.317695817991	377.524727137014	447.441124832747	70.2723798415022	149.672975999521	184.309697829278	382.883388132957	318.542902047415	388.520058373268
A4GALT	35.6517745853596	54.6040323338245	80.5414647777787	125.468746047787	110.671632338796	154.426582906877	11.5833593145333	4.42819455619886	19.9253727383004	90.9080670148082	67.9409686185046	86.4658883620033
A4GNT	10.3984342540632	7.44600440915789	2.92878053737377	6.97048589154371	11.3774575301566	1.97982798598561	0	7.08511128991817	12.4533579614377	17.1121067321992	13.3654364495419	29.9748412988278
AAAS	749.430011596413	821.542486477087	511.804398906066	386.36407513128	403.382585160098	321.722047722661	493.45110679912	361.340675785827	588.628719643957	840.632243219285	712.823277308901	783.957387815497
AACS	1583.53298783306	1398.1941612752	1418.26197522325	458.060501444301	410.622785406561	420.713447021941	444.80099767808	565.923264282214	689.91603106365	203.206267444865	189.343683035177	139.498299890699
AADAC	23.0251044197114	55.4313661570643	19.769268627273	203.13987455356	152.044205175729	150.466926934906	0	1.77127782247954	0	437.428228341842	426.580180014545	545.311535936367
AAGAB	436.734238670655	522.874976287532	425.40537305354	148.371771120002	139.632433324649	168.285378808776	636.312538345031	597.806265086846	463.264916165483	130.479813833019	119.175141675082	127.969514775765
AAK1	534.033873476532	616.363698313625	593.078058818189	1102.3325545627	1139.81438165751	1054.25840253733	769.135058485013	805.045770316952	603.572749197682	878.064976695971	728.416286500033	830.072528275232
AAMDC	87.6439458556757	48.8126955711462	79.0770745090918	63.7301567226853	59.990230613553	59.3948395795682	159.078134586258	100.962835881334	168.535444411457	64.1704002457469	70.1685413600949	65.7140751551225
AAMP	1082.17990772644	876.146518810912	959.17562598991	324.625485806178	320.637439486231	332.611101645582	866.435276727093	1078.70819389004	981.324607361293	503.737641929114	521.252021532134	652.529237505252
AAR2	471.643267952153	386.364895452971	439.317080606066	347.528510878394	314.431553560691	323.701875708646	319.70071708112	537.582819122541	466.585811621867	525.127775344362	338.591056721728	391.978693907748
AARS1	1113.37521048863	1303.05077160263	1327.46977856466	556.643087624705	511.985588857047	628.59538555043	796.162896885591	851.098993701421	927.360056195063	1079.13223079931	972.335501704173	940.748865378596
AARS2	141.121607733715	174.567436703591	152.296587943436	42.8186990480542	38.2696298741631	32.6671617687625	118.922488962542	49.5957790294272	65.587685263572	79.1434936364212	64.5996095061192	33.4334768333079
AARSD1	92.1004176788456	105.89872937469	102.507318808082	39.8313479516783	21.7206007393899	9.89913992992803	32.4334060806933	63.7660016092636	62.2667898071886	16.0426000614367	70.1685413600949	57.6439255746689
AASDH	115.125522098557	85.2153837936959	84.2024404494959	68.7090752166451	59.990230613553	84.1426894043882	139.772535728702	108.047947171252	90.4944011864475	41.7107601597355	16.7067955619274	29.9748412988278
AASDHPPT	115.125522098557	92.6613882028537	126.669758241416	59.7470219275175	139.632433324649	78.2032054464314	170.661493900791	192.18364373903	166.874996683266	90.9080670148082	89.1029096636126	54.1852900401887
AATF	198.312996131063	167.121432294433	215.997564631316	80.6584796021486	115.843203943413	79.1931194394242	172.205941809396	139.930947975884	141.96828076039	101.603133722433	143.678441832575	111.829215614858
AATK	0	0	0	8.96205328912763	5.17157160461664	8.90922593693522	0	0	0	8.55605336609959	14.4792228203371	29.9748412988278
ABAT	1313.91644253127	1940.09781549725	1766.05466403638	4719.01894857509	3831.1002447	4386.30890295111	3183.10713963376	3561.15406209512	2365.30778880907	1356.13445852679	1306.47141294272	1439.94526085523
ABCA1	9.65568895020156	24.820014697193	11.7151221494951	441.132178564838	372.353155532398	406.854651120042	33.2056300349956	27.4548062484329	19.0951488742045	1291.96405828104	1178.38598030128	1353.47937249322
ABCA12	3.71372651930829	4.13666911619883	3.66097567171721	12.9451880842955	5.17157160461664	12.8688819089064	0	0	0	7.48654669533714	6.68271822477095	6.91727106896026
ABCA2	320.123225964375	271.365494022643	287.752687796973	196.169388662016	274.093295044682	185.113916689654	74.9057235673155	116.90433628365	101.287311419694	454.540335074041	357.525425025246	453.081255016897
ABCA3	1089.60736076505	1343.59012894138	1141.49221444143	861.352899455044	862.618143650055	811.729474254098	1383.05310215528	1144.24547332179	980.494383497197	787.156909681162	750.692013915936	704.408770522454
ABCA5	1.48549060772332	8.27333823239766	15.3760978212123	30.8692946625507	23.7892293812365	25.7377638178129	13.1278072231378	37.1968342720704	25.7369397869713	26.7376667690612	82.4201914388417	12.6816636264272
ABCA7	384.742067400339	352.44420870014	343.399518007075	373.418887046984	360.975698002241	306.873337827769	303.484014040773	204.582588496387	376.921634299515	540.100868735037	524.593380644519	590.273797884609
ABCB1	4743.91425576441	6077.59426551932	6414.7615719829	10215.7449659067	8352.08814145587	8967.6308625218	8648.90828818489	9732.28599561385	7210.49425967244	3534.71954686989	4098.73384452618	3354.87646844573
ABCB10	320.123225964375	230.826136683895	283.359516990912	227.038683324567	191.348149370815	213.821422486445	125.10028059696	223.181005632422	229.97201035455	301.600881155011	197.140187630743	217.894038672248
